 Mass = 0 
 -3.89e+21 7.6051903228e-22 -6.01e+21 -2.96e+00 
 -1.45e+22 6.8927946768e-22 -3.07e+21 -1.00e+01 
 -1.63e+22 5.0795159189e-22 1.74e+21 -8.27e+00 
 -7.97e+21 3.9158498298e-22 5.47e+21 -3.12e+00 
 5.32e+21 2.8218081499e-22 5.79e+21 1.50e+00 
 1.54e+22 9.9751236531e-23 2.52e+21 1.53e+00 
 1.59e+22 -2.2925602643e-22 -2.30e+21 -3.64e+00 
 6.44e+21 -3.5162926308e-22 -5.66e+21 -2.26e+00 
 -7.11e+21 -5.7437784000e-22 -5.48e+21 4.08e+00 
 -1.63e+22 -8.3422579016e-22 -1.88e+21 1.36e+01 
 -1.53e+22 -9.5244144775e-22 2.87e+21 1.46e+01 
 -4.66e+21 -9.3988250184e-22 5.80e+21 4.38e+00 
 8.96e+21 -8.3340260985e-22 5.07e+21 -7.46e+00 
 1.70e+22 -6.7982755345e-22 1.16e+21 -1.15e+01 
 1.42e+22 -4.2276739671e-22 -3.47e+21 -6.01e+00 
 2.42e+21 -1.4103001603e-22 -5.89e+21 -3.41e-01 
 -1.10e+22 1.1652666896e-22 -4.56e+21 -1.28e+00 
 -1.75e+22 3.9966735214e-22 -3.44e+20 -6.99e+00 
 -1.29e+22 6.0622238686e-22 4.07e+21 -7.81e+00 
 -2.92e+19 7.2282984250e-22 5.87e+21 -2.11e-02 
 1.29e+22 7.5686289837e-22 3.90e+21 9.76e+00 
 1.76e+22 6.9636433474e-22 -5.46e+20 1.23e+01 
 1.10e+22 6.4478730421e-22 -4.61e+21 7.07e+00 
 -2.83e+21 6.1870267387e-22 -5.69e+21 -1.75e+00 
 -1.49e+22 5.3711967303e-22 -3.10e+21 -8.01e+00 
 -1.74e+22 4.0407643804e-22 1.47e+21 -7.03e+00 
 -8.60e+21 2.0368644710e-22 5.06e+21 -1.75e+00 
 5.84e+21 7.5857726593e-23 5.36e+21 4.43e-01 
 1.65e+22 -1.0705172924e-22 2.18e+21 -1.77e+00 
 1.64e+22 -3.9388424336e-22 -2.40e+21 -6.47e+00 
 5.53e+21 -6.0427882455e-22 -5.39e+21 -3.34e+00 
 -9.06e+21 -8.3340019479e-22 -4.83e+21 7.55e+00 
 -1.78e+22 -9.1352425281e-22 -1.11e+21 1.63e+01 
 -1.49e+22 -9.3815803081e-22 3.32e+21 1.40e+01 
 -2.13e+21 -8.1629082383e-22 5.54e+21 1.74e+00 
 1.21e+22 -6.5037152722e-22 4.09e+21 -7.86e+00 
 1.84e+22 -3.8324455722e-22 -4.69e+19 -7.04e+00 
 1.24e+22 -1.2041449614e-22 -4.11e+21 -1.50e+00 
 -1.87e+21 1.6806338554e-22 -5.42e+21 -3.15e-01 
 -1.50e+22 4.6426291697e-22 -3.11e+21 -6.98e+00 
 -1.82e+22 6.1759405980e-22 1.25e+21 -1.13e+01 
 -9.19e+21 7.7551052342e-22 4.74e+21 -7.12e+00 
 6.08e+21 8.1691444828e-22 5.04e+21 4.97e+00 
 1.73e+22 8.0357347546e-22 1.97e+21 1.39e+01 
 1.69e+22 7.0611744931e-22 -2.41e+21 1.19e+01 
 4.96e+21 6.8590454364e-22 -5.13e+21 3.40e+00 
 -1.04e+22 5.0353780430e-22 -4.36e+21 -5.24e+00 
 -1.88e+22 2.7621256117e-22 -6.43e+20 -5.19e+00 
 -1.44e+22 2.7685119111e-23 3.48e+21 -4.00e-01 
 -2.26e+20 -2.1395279122e-22 5.21e+21 4.83e-02 
 1.42e+22 -4.9646185243e-22 3.37e+21 -7.07e+00 
 1.90e+22 -6.4564088975e-22 -7.45e+20 -1.23e+01 
 1.07e+22 -7.9112400964e-22 -4.30e+21 -8.45e+00 
 -5.10e+21 -8.1714362070e-22 -4.87e+21 4.17e+00 
 -1.75e+22 -7.6309848546e-22 -2.08e+21 1.34e+01 
 -1.78e+22 -6.7149380122e-22 2.11e+21 1.20e+01 
 -5.79e+21 -5.8777147510e-22 4.81e+21 3.40e+00 
 1.04e+22 -4.1311251585e-22 4.16e+21 -4.29e+00 
 1.94e+22 -2.3547739534e-22 6.45e+20 -4.56e+00 
